City,Reporting Period,Total emissions (metric tonnes CO2e), GHG/Capita , Population ,Year Reported,Methodology/Protocol
New York City,2014,"  49,385,508 ",  5.816 ,"  8,491,079 ",2016,"ConEdison (ConEd) provided data on use of citywide electricity and steam, and natural gas in the Bronx, Manhattan, and parts of Queens. National Grid reported natural gas use data for Brooklyn, parts of Queens, and Staten Island. The Long Island Power Author- ity (LIPA) reported electricity use data for the Rockaways area of Queens. Fuel oil use was provided by private fuel oil suppliers, per Local Law 43 of 2013, which requires fuel oil providers to report fuel oil deliveries by fuel type to the City on an annual basis. The New York Metropolitan Transportation Council (NYMTC) provided on-road transportation vehicle-miles-traveled (VMT) data. Energy use data for public transit were provided by the Metropolitan Transportation Authority (MTA) for New York City Transit (NYCT) subways and buses, Staten Island Railway (SIR), MTA Metro-North Rail Road (MNR) and Long Island Railroad (LIRR) commuter rail, and MTA Bus Company buses; by the Port Authority of New York and New Jersey (PANYNJ) for Trans-Hudson (PATH) commuter rail; and New Jersey Transit (NJT) for its commuter rail and buses. Data used to calculate fugitive and process CH4 and process N2O from wastewater treatment were provided by DEP. CH4 emissions were calculated based on the destruction of volatile material in anaerobic digesters. Based on the measured concentration and flow of volatile organic solids, it is estimated that 15 cubic feet of digester gas is produced for every pound of volatile organic solids destroyed. N2O emissions were calculated by applying the daily nitrogen load discharged by each of the City’s 14 wastewater treatment plant to the formula in the LGOP. Fugitive CH4 from in-city landfills was calculated from landfill gas collection data provided by the New York City Department of Sani- tation (DSNY) and DEP per the LGOP. Fugitive CH4 from exported solid waste was calculated using waste disposal figures for resi- dential, commercial, and construction and demolition waste and applying emissions factors from the USCP, which were taken from EPA’s Waste Reduction Model (WARM). Fugitive CH4 from natural gas distribution was calculated using data provided by National Grid and ConEd. Fugitive SF6 from electricity distribution was cal- culated using data provided by ConEd. ."
Prefeitura de Extrema,2014,"  131,931 ",  3.912 ,"  33,729 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Prefeitura Municipal de João Pessoa,2014,"  1,550,999 ",  2.144 ,"  723,515 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Pretoria - Tshwane,2014,"  15,236,693 ",  4.617 ,"  3,300,000 ",2017,International Emissions Analysis Protocol (ICLEI)
Region Metropolitana de Guadalajara,2014,"  4,504,221 ",  3.085 ,"  1,460,148 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Santarém,2014,"  245,886 ",  3.982 ,"  61,752 ",2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Santiago de Guayaquil,2014,"  6,787,374 ",  2.566 ,"  2,644,891 ",2017,Other: ISO 14064
Stadt Zürich,2014,"  1,822,367 ",  4.384 ,"  415,682 ",2017,Other: 2000-Watt society Methodology
Tainan City Government,2014,"  21,458,525 ",  11.378 ,"  1,886,033 ",2017,International Emissions Analysis Protocol (ICLEI)
Taipei City Government,2014,"  14,957,404 ",  5.530 ,"  2,704,810 ",2016,Taipei city using GPC methodology to make City GHG inventory since 2014.
Taoyuan City Government,2014,"  35,764,526 ",  16.607 ,"  2,153,521 ",2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Tokyo Metropolitan Government,2014,"  70,125,000 ",  5.189 ,"  13,513,734 ",2016,"The guideline set by the Ministry of environmnet , Japan"
Torres Vedras Municipality,2014,"  275,646 ",  3.469 ,"  79,465 ",2017,International Emissions Analysis Protocol (ICLEI)
Ville de Montreal,2014,"  10,384,940 ",  5.347 ,"  1,942,044 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Vilnius City Municipality,2014,"  1,944,330 ",  3.583 ,"  542,626 ",2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Wellington City Council,2014,"  773,061 ",  3.615 ,"  213,847 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Yilan County Government,2014,"  8,691,225 ",  18.972 ,"  458,117 ",2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Ajuntament de Barcelona,2015,"  2,822,928 ",  1.759 ,"  1,604,555 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Alcaldía Metropolitana de Caracas,2015,"  17,774,776 ",  5.052 ,"  3,518,590 ",2016,We used only one methodology: the 2006 IPCC Guidelines for National Greenhouse Gas Inventory. Data was collected or estimated from official sources.
Auckland Council,2015,"  7,750,281 ",  4.677 ,"  1,657,200 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Ayuntamiento de San Luis Potosí,2015,"  1,320,630 ",  1.602 ,"  824,229 ",2016,"the IPCC methodology was followed , implementing all the criteria therein following the classification."
Bærum Kommune,2015,"  227,962 ",  1.858 ,"  122,660 ",2017,Other
Batangas City,2015,"  657,636 ",  1.857 ,"  354,170 ",2017,Other: IPCC
Bogotá Distrito Capital,2015,"  12,359,325 ",  1.569 ,"  7,878,783 ",2016,"The IPCC guidelines in 2006 for GHG inventories, specifically for modules: energy, industrial processes and products use, waste and forestry module and land uses."
Byron Shire Council,2015,"  263,199 ",  9.011 ,"  29,209 ",2017,Other
Canberra,2015,"  4,003,900 ",  10.010 ,"  400,000 ",2016,"The ACT Government receives disaggregated national data each year from the Australian Government which is consistent with the IPCC guidelines. However, the ACT Government is required to record its own electricity, gas and transport data as this is not provided by the national government at the ACT scale."
Canberra,2015,"  4,047,600 ",  10.119 ,"  400,000 ",2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Changwon City,2015,"  10,257,440 ",  9.563 ,"  1,072,657 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Adelaide,2015,"  573,347 ",  24.279 ,"  23,615 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Alameda,2015,"  421,487 ",  5.549 ,"  75,961 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Amsterdam,2015,"  4,471,000 ",  5.437 ,"  822,272 ",2016,"Local standard based on electricity, gas, district heat en local transportation."
City of Anchorage,2015,"  3,557,393 ",  11.958 ,"  297,483 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Ann Arbor,2015,"  1,420,000 ",  12.057 ,"  117,770 ",2017,International Emissions Analysis Protocol (ICLEI)
"City of Arlington, VA",2015,"  2,480,700 ",  11.448 ,"  216,700 ",2016,"Transportation, fuel oil use, and solid waste emissions data are the most recent available, from a 2012 inventory. Electricity and natural gas consumption in the community reflect actual 2015 data based on utility reporting."
City of Athens,2015,"  5,053,422 ",  7.610 ,"  664,046 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Atlanta,2015,"  7,580,504 ",  16.839 ,"  450,182 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Atlanta,2015,"  9,139,286 ",  20.594 ,"  443,775 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Boston,2015,"  6,462,495 ",  9.653 ,"  669,469 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Boulder,2015,"  1,701,551 ",  15.878 ,"  107,167 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Brisbane, CA",2015,"  148,025 ",  32.158 ,"  4,603 ",2017,International Emissions Analysis Protocol (ICLEI)
City of Buenos Aires,2015,"  13,113,673 ",  4.537 ,"  2,890,151 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Buenos Aires,2015,"  13,193,864 ",  4.313 ,"  3,059,122 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Calgary,2015,"  18,207,232 ",  15.123 ,"  1,203,915 ",2016,This is the first year using this protocol. The inventory was completed to a BASIC level.
City of Cape Town,2015,"  21,233,880 ",  5.292 ,"  4,012,441 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Chicago,2015,"  30,955,862 ",  11.379 ,"  2,720,546 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Chicago,2015,"  32,651,379 ",  12.031 ,"  2,714,017 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Cincinnati,2015,"  7,318,055 ",  24.512 ,"  298,550 ",2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
City of Cincinnati,2015,"  7,598,473 ",  25.219 ,"  301,301 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Cincinnati,2015,"  7,600,000 ",  25.435 ,"  298,800 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Cleveland,2015,"  7,688,447 ",  19.375 ,"  396,815 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Columbia, MO",2015,"  2,435,589 ",  20.450 ,"  119,098 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Columbia, MO",2015,"  3,247,578 ",  27.268 ,"  119,098 ",2017,International Emissions Analysis Protocol (ICLEI)
"City of Columbia, SC",2015,"  1,848,635 ",  13.862 ,"  133,358 ",2017,International Emissions Analysis Protocol (ICLEI)
City of Columbus,2015,"  10,983,600 ",  13.139 ,"  835,957 ",2016,Basic Reporting.
City of Copenhagen,2015,"  1,450,358 ",  2.407 ,"  602,504 ",2017,Other
City of Cupertino,2015,"  244,943 ",  4.030 ,"  60,777 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Dallas,2015,"  19,527,127 ",  14.518 ,"  1,345,047 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
"City of Denton, TX",2015,"  1,604,007 ",  12.240 ,"  131,044 ",2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
City of Denver,2015,"  943,176 ",  1.382 ,"  682,545 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Durban,2015,"  22,154,154 ",  5.988 ,"  3,700,000 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Durham,2015,"  4,530,469 ",  18.063 ,"  250,815 ",2016,
City of Durham,2015,"  4,681,117 ",  18.664 ,"  250,815 ",2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
City of Edmonton,2015,"  13,357,063 ",  14.958 ,"  893,000 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Espoo,2015,"  1,233,581 ",  4.494 ,"  274,522 ",2017,Other
City of Fremont,2015,"  1,438,725 ",  6.123 ,"  234,962 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Gibraltar,2015,"  263,352 ",  7.855 ,"  33,528 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Hayward,2015,"  1,048,704 ",  6.596 ,"  158,985 ",2016,
City of Hayward,2015,"  1,103,977 ",  6.944 ,"  158,985 ",2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
City of Iowa City,2015,"  1,045,993 ",  14.093 ,"  74,220 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Knoxville,2015,"  4,383,703 ",  23.658 ,"  185,291 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Knoxville,2015,"  4,384,810 ",  23.544 ,"  186,239 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Lagos,2015,"  26,443,657 ",  1.259 ,"  21,000,000 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Lagos,2015,"  29,333,951 ",  1.182 ,"  24,821,418 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Lahti,2015,"  717,200 ",  6.004 ,"  119,452 ",2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
City of Lakewood,2015,"  1,652,223 ",  10.703 ,"  154,368 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Lancaster,2015,"  885,210 ",  5.498 ,"  161,000 ",2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
"City of Lancaster, PA",2015,"  365,763 ",  6.096 ,"  60,000 ",2016,
City of Long Beach,2015,"  3,090,177 ",  6.573 ,"  470,130 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Medford,2015,"  410,305 ",  7.144 ,"  57,437 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Melbourne,2015,"  4,372,420 ",  31.710 ,"  137,889 ",2016,"City of Melbourne includes the emissions sources categorised in the GPC. Emissions sources are converted to CO2e using the emissions factors listed in the Australian National Greenhouse Accounts. * Electricity, gas and water data was provided directly by the utility companies. * Emissions from private vehicle use were estimated using a transport model built by Council which incorporates data from twice yearly traffic surveys and data on vehicle use collected by the Australian Bureau of Statistics. *The amount of waste produced within the municipality was estimated from a waste survey commissioned by Council and conducted in 2012. *Water-borne emissions were included from a private study commissioned by the Port Authority in 2012."
City of Mississauga,2015,"  6,600,476 ",  9.147 ,"  721,599 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of New Haven (CT),2015,"  1,143,288 ",  8.726 ,"  131,014 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of North Vancouver,2015,"  187,055 ",  3.536 ,"  52,898 ",2017,Other: ICLEI Partners for Climate Protection
City of North Vancouver,2015,"  211,975 ",  4.007 ,"  52,898 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Oakland,2015,"  1,745,827 ",  4.167 ,"  419,000 ",2017,Other: ICLEI Community Protocol
City of Oakland,2015,"  2,462,536 ",  5.863 ,"  420,000 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Palo Alto,2015,"  152,631 ",  2.280 ,"  66,955 ",2016,TCR/LGOP
City of Porto,2015,"  960,656 ",  4.020 ,"  238,954 ",2017,Other: Metodology developed for the specific purpose and context
City of Providence,2015,"  1,685,403 ",  9.439 ,"  178,562 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Providence,2015,"  1,704,321 ",  9.545 ,"  178,562 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Roanoke,2015,"  1,971,679 ",  20.024 ,"  98,465 ",2016,ICLEI Clean Air and Climate Protection Software
City of San Francisco,2015,"  4,981,652 ",  5.760 ,"  864,816 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of San Leandro, CA",2015,"  633,905 ",  7.168 ,"  88,441 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of San Leandro, CA",2015,"  671,167 ",  7.412 ,"  90,553 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
"City of Santa Barbara, CA",2015,"  516,206 ",  5.519 ,"  93,532 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Santa Monica,2015,"  1,110,480 ",  12.008 ,"  92,478 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of St Louis,2015,"  7,203,267 ",  22.560 ,"  319,294 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Stockholm,2015,"  1,796,590 ",  1.945 ,"  923,516 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Sydney,2015,"  3,556,529 ",  17.320 ,"  205,339 ",2016,"Traditionally the City of Sydney has calculated city-wide GHG emissions based on the CCAP reporting tool by Kinesis - a private consultancy commissioned by the City. Recently the City has also developed GPC BASIC inventories for the 2005/06, 2013/14 and 2014/15 years to be compliant with the Compact of Mayors. The GPC BASIC inventories show lower emissions compared with inventories based on the CCAP tool due to different methodologies and emissions sources. Future year’s reports may be subject to change as the City of Sydney will be updating its inventories in the short term for achieving beyond GPC BASIC compliance."
City of Sydney,2015,"  3,783,982 ",  17.939 ,"  210,931 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Tempe, AZ",2015,"  3,187,651 ",  18.130 ,"  175,826 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Turku,2015,"  840,800 ",  4.496 ,"  187,000 ",2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
City of Vancouver,2015,"  2,499,107 ",  3.958 ,"  631,486 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Wroclaw,2015,"  4,065,219 ",  6.394 ,"  635,759 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Yokohama,2015,"  20,960,501 ",  5.618 ,"  3,731,096 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Ciudad de Mendoza,2015,"  61,862,524 ",  537.743 ,"  115,041 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Comune di Milano,2015,"  5,965,718 ",  4.276 ,"  1,395,274 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Corporation of Chennai,2015,"  19,317,353 ",  2.542 ,"  7,600,000 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
District of Columbia,2015,"  8,026,730 ",  11.784 ,"  681,170 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Distrito Metropolitano de Quito,2015,"  5,759,189 ",  2.572 ,"  2,239,191 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Egedal Municipality,2015,"  188,407 ",  4.375 ,"  43,063 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Egedal Municipality,2015,"  213,427 ",  5.082 ,"  42,000 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Elsinore Municipality,2015,"  294,549 ",  4.779 ,"  61,632 ",2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Estância Turística de Guaratinguetá,2015,"  548,196 ",#DIV/0!,,2016,
Gemeente Rotterdam,2015,"  31,512,000 ",  50.500 ,"  624,000 ",2016,"For the city of Rotterdam, the GHG protocol is used and the governmental boundaries apply, hence including the port, we compute all scope 1 emissions. Industrial activities in the port area encompasses several energy production plants, therefore scope 2 emissions from the industry are not computed. We only monitor scope 2 emissions for the built environment. This number is filled in in C1.5 but is not used for the monitoring of the RCI target. An inventory was made on the emissions in 2009 and 2011 of other green house gases, but these numbers have limited accuracy. Therefore, these numbers are not included in C1.5. The most recent data that are now (April, 2016) available refer to the situation in 2014."
Gladsaxe Kommune,2015,"  331,282 ",  4.919 ,"  67,347 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Government of Hong Kong Special Administrative Region,2015,"  39,841,930 ",  5.390 ,"  7,391,700 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Greater London Authority,2015,"  33,680,515 ",  3.791 ,"  8,883,800 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Incheon Metropolitan City,2015,"  69,794,140 ",  23.394 ,"  2,983,484 ",2016,Calculation Korea Environment Corporation municipal greenhouse gas emissions guidelines ver.4.0 (2015. January)
Istanbul Metropolitan Municipality,2015,"  47,862,539 ",  3.233 ,"  14,804,116 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Los Altos Hills,2015,"  57,243 ",  6.869 ,"  8,334 ",2016,We also participated in the GPC community inventory pilot in 2015. We were the only city from the US in their initial pilot.
Metropolitan Municipality of Lima,2015,"  15,789,438 ",  1.665 ,"  9,485,405 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Municipalidad de Rio Grande,2015,"  810,086 ",  9.129 ,"  88,741 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Municipalidad de San Isidro (Lima),2015,"  318,191 ",  5.870 ,"  54,206 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipality of Belo Horizonte,2015,"  4,494,883 ",  1.788 ,"  2,513,451 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipality of Belo Horizonte,2015,"  5,385,703 ",  2.268 ,"  2,375,151 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipality of Medellìn,2015,"  3,414,204 ","  1,385.454 ","  2,464 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipality of Recife,2015,"  2,329,792 ",  1.433 ,"  1,625,583 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Municipio de Loja,2015,"  423,878 ",  1.973 ,"  214,855 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
New York City,2015,"  52,042,186 ",  6.096 ,"  8,537,673 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Pingtung County Government,2015,"  4,682,214 ",  5.642 ,"  829,939 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Prefeitura de Londrina,2015,"  1,279,855 ",  2.526 ,"  506,701 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Prefeitura Niterói,2015,"  1,729,602 ",  3.474 ,"  497,883 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Rajkot Municipal Corporation,2015,"  1,887,685 ",  1.467 ,"  1,286,995 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Regional Municipality of Durham,2015,"  6,857,858 ",  10.189 ,"  673,070 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Roma Capitale,2015,"  16,736,522 ","  5,818.133 ","  2,877 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Salt Lake City,2015,"  4,752,386 ",  24.666 ,"  192,672 ",2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
Santa Fe County,2015,"  1,789,058 ",  11.944 ,"  149,790 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Seoul Metropolitan Government,2015,"  45,646,000 ",  4.514 ,"  10,112,070 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Sofia Municipality,2015,"  5,124,843 ",  3.463 ,"  1,479,902 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Sonderborg Kommune,2015,"  1,806,679 ",  24.153 ,"  74,801 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Stadt Heidelberg,2015,"  806,000 ",  5.508 ,"  146,333 ",2017,Other: IFEU
Stadt Heidelberg,2015,"  967,417 ",  6.447 ,"  150,054 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Suwon City,2015,"  5,611,628 ",  4.524 ,"  1,240,480 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Taichung City Government,2015,"  13,668,164 ",  4.970 ,"  2,750,000 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Taipei City Government,2015,"  12,114,538 ",  4.494 ,"  2,695,704 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Tokyo Metropolitan Government,2015,"  61,233,101 ",  4.419 ,"  13,857,664 ",2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"Town of Ajax, ON",2015,"  1,234,211 ",  11.261 ,"  109,600 ",2017,International Emissions Analysis Protocol (ICLEI)
Town of Blacksburg,2015,"  347,483 ",  7.859 ,"  44,215 ",2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
Village of Kadiovacik,2015,  444 ,  2.055 ,  216 ,2016,
Ville de Montreal,2015,"  10,223,546 ",  5.038 ,"  2,029,379 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Ville de Nyon,2015,"  103,807 ",  5.021 ,"  20,675 ",2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Wellington City Council,2015,"  1,084,979 ",  5.324 ,"  203,800 ",2016,
"Arlington, VA",2016,"  2,260,001 ",  9.982 ,"  226,400 ",2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Auckland Council,2016,"  7,551,034 ",  4.677 ,"  1,614,400 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Ayuntamiento de Madrid,2016,"  9,443,598 ",  2.932 ,"  3,221,000 ",2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
